,0
0,0.11324897965
1,-0.265068501072
2,0.0412743813701
3,-0.335939460048
4,0.168156983604
5,0.398315199642
6,-0.197924455737
7,-0.00213889891188
8,0.258991129641
9,-0.61904689596
10,0.0776050253251
11,-0.285424843991
12,-0.508673962864
13,0.29483568309
14,-0.0280901331288
15,-0.20698967611
16,-0.212517430381
17,-0.0184069216867
18,-0.687098759142
19,0.129901155797
20,-0.0444096447056
21,0.443696141631
22,0.0332723087137
23,-0.0985861295057
24,-0.414687723084
25,0.228780428257
26,0.243458934431
27,-0.153940725648
28,-0.0211003946285
29,0.391192703915
30,0.648936499979
31,-0.32654845363
32,0.231344589281
33,-0.0765217272672
34,-0.131108217987
35,0.242151626078
36,1.07346956691
37,0.0249758814227
38,0.060069823274
39,-0.25187582672
40,0.262029080251
41,-0.404671319084
42,0.24357789734
43,-0.0717115955052
44,-0.786998859877
45,3.52941663973
46,-0.0979063005126
47,0.334028212432
48,-0.123305028821
49,0.211846953176
50,-0.0239072535945
51,0.0844732796804
52,0.289120797567
53,-0.241554057051
54,-1.4965696285
55,0.0874793967176
56,-0.156371587064
57,0.336280334245
58,-1.01497160865
59,-2.52770912769
60,2.96265259449
61,-0.502935992642
62,1.08172681998
63,-3.91850743807
64,0.0188379256215
65,-0.73774711195
66,-0.122633970422
67,-0.411191008875
68,0.185103021656
69,-0.13582480266
70,0.0559708112737
71,-0.18890310474
72,0.0213017990959
73,0.0116941130293
74,0.14384532709
75,0.288688122171
76,-0.578598126949
77,-1.81525231545
78,2.07795833418
79,0.126418222274
80,-0.197219248922
81,-0.322053757398
82,-0.120364147706
83,-0.633436462113
84,-0.00879115023639
85,-0.118592638702
86,-0.007917796121
87,0.0634896434684
88,-0.095785155113
89,-0.043115103282
90,0.940018243697
91,-0.00411756737983
92,-0.017043249823
93,-0.504027778074
94,-0.471508980673
95,-0.717630630206
96,0.968243546173
97,-0.704856917788
98,-0.964653867944
99,8.05685622644
100,0.0982112930907
101,1.15198145251
102,0.0655245440524
103,0.317486368507
104,0.180071805738
105,0.00851096925089
106,-0.0696121335288
107,0.313330800235
108,-0.426913041766
109,-0.138373942704
110,-0.178632678312
111,0.114116915869
112,-0.092612617847
113,-0.770442671546
114,0.528743567884
115,-0.284984802052
116,0.975978116026
117,-9.19414184966
118,0.0300482116011
119,-1.2538653828
120,-0.114615553185
121,0.0311194806007
122,-0.25253970147
123,-0.00546881508877
124,-0.0802349138365
125,0.0686249449325
126,-1.6650162014
127,0.158378376789
128,0.0859125517303
129,0.151964413751
130,-0.552470544537
131,-2.74296918222
132,2.66474959407
133,-0.287083967274
134,-0.0744491288916
135,0.461460507389
136,-0.0789871083935
137,0.0202407292355
138,0.234336668615
139,-0.345278665803
140,0.104790931346
141,-0.226955111328
142,0.00917306815743
143,-0.365174212627
144,2.05249467873
145,0.518732143838
146,0.413548237613
147,0.0605438679928
148,-0.720778438269
149,0.107047996953
150,2.02124833865
151,1.85846380076
152,0.905612354885
153,15.7434633279
154,-0.161534643647
155,0.642077534713
156,0.239810532057
157,-0.15048661762
158,0.0171174043752
159,0.0367933908125
160,-0.14973925729
161,0.232276968474
162,21.3743598799
